lab,subid,session_error_type_recoded,lab_mb1,subid_mb1,session_error_type_recoded_mb1
,,,musdevutm,musdevutm_mb04pilot,experimenter error
,,,musdevutm,musdevutm_mb05pilot,experimenter error
,,,pocdnorthwestern,pocdnorthwestern_mb21,outside interference
,,,pocdnorthwestern,pocdnorthwestern_mb8,equipment failure
,,,purdueinfantspeech,purdueinfantspeech_42262,experimenter error
,,,purdueinfantspeech,purdueinfantspeech_42582,experimenter error
,,,socialcogumiami,socialcogumiami_1086,experimenter error
,,,trainorlab,trainorlab_s10,outside interference
,,,trainorlab,trainorlab_s32,experimenter error
,,,trainorlab,trainorlab_s33,experimenter error
,,,unlvmusiclab,unlvmusiclab_run003,equipment failure
,,,unlvmusiclab,unlvmusiclab_run004,equipment failure
,,,unlvmusiclab,unlvmusiclab_run022,experimenter error
,,,weltentdeckerzurich,weltentdeckerzurich_mb13787,experimenter error
,,,wsigoettingen,wsigoettingen_m111,experimenter error
,,,wsigoettingen,wsigoettingen_m222,experimenter error
,,,wsigoettingen,wsigoettingen_m323,experimenter error
,,,wsigoettingen,wsigoettingen_m403,experimenter error
